child,parent
CCSR:FAC014,FAC
CCSR:FAC015,FAC
CCSR:FAC016,FAC
CCSR:FAC017,FAC
CCSR:FAC018,FAC
CCSR:FAC019,FAC
CCSR:FAC020,FAC
CCSR:FAC021,FAC
CCSR:FAC022,FAC
CCSR:FAC023,FAC
CCSR:FAC024,FAC
CCSR:FAC025,FAC
CCSR:GEN001,GEN
CCSR:GEN002,GEN
CCSR:GEN003,GEN
CCSR:GEN004,GEN
CCSR:GEN005,GEN
CCSR:GEN006,GEN
CCSR:GEN007,GEN
CCSR:GEN008,GEN
CCSR:GEN009,GEN
CCSR:GEN010,GEN
CCSR:GEN011,GEN
CCSR:GEN012,GEN
CCSR:GEN013,GEN
CCSR:GEN014,GEN
CCSR:GEN015,GEN
CCSR:GEN016,GEN
CCSR:GEN017,GEN
CCSR:GEN018,GEN
CCSR:GEN019,GEN
CCSR:GEN020,GEN
CCSR:GEN021,GEN
CCSR:GEN022,GEN
CCSR:GEN023,GEN
CCSR:GEN024,GEN
CCSR:GEN025,GEN
CCSR:GEN026,GEN
CCSR:INF001,INF
CCSR:INF002,INF
CCSR:INF003,INF
CCSR:INF004,INF
CCSR:INF005,INF
CCSR:INF006,INF
CCSR:INF007,INF
CCSR:INF008,INF
CCSR:INF009,INF
CCSR:INF010,INF
CCSR:INF011,INF
CCSR:INJ001,INJ
CCSR:INJ002,INJ
CCSR:INJ003,INJ
CCSR:INJ004,INJ
CCSR:INJ005,INJ
CCSR:INJ006,INJ
CCSR:INJ007,INJ
CCSR:INJ008,INJ
CCSR:INJ009,INJ
CCSR:INJ010,INJ
CCSR:INJ011,INJ
CCSR:INJ012,INJ
CCSR:INJ013,INJ
CCSR:INJ014,INJ
CCSR:INJ015,INJ
CCSR:INJ016,INJ
CCSR:INJ017,INJ
CCSR:INJ018,INJ
CCSR:INJ019,INJ
CCSR:INJ020,INJ
CCSR:INJ021,INJ
CCSR:INJ022,INJ
CCSR:INJ023,INJ
CCSR:INJ024,INJ
CCSR:INJ025,INJ
CCSR:INJ026,INJ
CCSR:INJ027,INJ
CCSR:INJ028,INJ
CCSR:INJ029,INJ
CCSR:INJ030,INJ
CCSR:INJ031,INJ
CCSR:INJ032,INJ
CCSR:INJ033,INJ
CCSR:INJ034,INJ
CCSR:INJ035,INJ
CCSR:INJ036,INJ
CCSR:INJ037,INJ
CCSR:INJ038,INJ
CCSR:INJ039,INJ
CCSR:INJ040,INJ
CCSR:INJ041,INJ
CCSR:INJ042,INJ
CCSR:INJ043,INJ
CCSR:INJ044,INJ
CCSR:INJ045,INJ
CCSR:INJ046,INJ
CCSR:INJ047,INJ
CCSR:INJ048,INJ
CCSR:INJ049,INJ
CCSR:INJ050,INJ
CCSR:INJ051,INJ
CCSR:INJ052,INJ
CCSR:INJ053,INJ
CCSR:INJ054,INJ
CCSR:INJ055,INJ
CCSR:INJ056,INJ
CCSR:INJ057,INJ
CCSR:INJ058,INJ
CCSR:INJ059,INJ
CCSR:INJ060,INJ
CCSR:INJ061,INJ
CCSR:INJ062,INJ
CCSR:INJ063,INJ
CCSR:INJ064,INJ
CCSR:INJ065,INJ
CCSR:INJ066,INJ
CCSR:INJ067,INJ
CCSR:INJ068,INJ
CCSR:INJ069,INJ
CCSR:INJ070,INJ
CCSR:INJ071,INJ
CCSR:INJ072,INJ
CCSR:INJ073,INJ
CCSR:INJ074,INJ
CCSR:INJ075,INJ
CCSR:INJ076,INJ
CCSR:MAL001,MAL
CCSR:MAL002,MAL
CCSR:MAL003,MAL
CCSR:MAL004,MAL
CCSR:MAL005,MAL
CCSR:MAL006,MAL
CCSR:MAL007,MAL
CCSR:MAL008,MAL
CCSR:MAL009,MAL
CCSR:MAL010,MAL
CCSR:MBD001,MBD
CCSR:MBD002,MBD
CCSR:MBD003,MBD
CCSR:MBD004,MBD
CCSR:MBD005,MBD
CCSR:MBD006,MBD
CCSR:MBD007,MBD
CCSR:MBD008,MBD
CCSR:MBD009,MBD
CCSR:MBD010,MBD
CCSR:MBD011,MBD
CCSR:MBD012,MBD
CCSR:MBD013,MBD
CCSR:MBD014,MBD
CCSR:MBD015,MBD
CCSR:MBD016,MBD
CCSR:MBD017,MBD
CCSR:MBD018,MBD
CCSR:MBD019,MBD
CCSR:MBD020,MBD
CCSR:MBD021,MBD
CCSR:MBD022,MBD
CCSR:MBD023,MBD
CCSR:MBD024,MBD
CCSR:MBD025,MBD
CCSR:MBD026,MBD
CCSR:MBD027,MBD
CCSR:MBD028,MBD
CCSR:MBD029,MBD
CCSR:MBD030,MBD
CCSR:MBD031,MBD
CCSR:MBD032,MBD
CCSR:MBD033,MBD
CCSR:MBD034,MBD
CCSR:MUS001,MUS
CCSR:MUS002,MUS
CCSR:MUS003,MUS
CCSR:MUS004,MUS
CCSR:MUS005,MUS
CCSR:MUS006,MUS
CCSR:MUS007,MUS
CCSR:MUS008,MUS
CCSR:MUS009,MUS
CCSR:MUS010,MUS
CCSR:MUS011,MUS
CCSR:MUS012,MUS
CCSR:MUS013,MUS
CCSR:MUS014,MUS
CCSR:MUS015,MUS
CCSR:MUS016,MUS
CCSR:MUS017,MUS
CCSR:MUS018,MUS
CCSR:MUS019,MUS
CCSR:MUS020,MUS
CCSR:MUS021,MUS
CCSR:MUS022,MUS
CCSR:MUS023,MUS
CCSR:MUS024,MUS
CCSR:MUS025,MUS
CCSR:MUS026,MUS
CCSR:MUS027,MUS
CCSR:MUS028,MUS
CCSR:MUS029,MUS
CCSR:MUS030,MUS
CCSR:MUS031,MUS
CCSR:MUS032,MUS
CCSR:MUS033,MUS
CCSR:MUS034,MUS
CCSR:MUS035,MUS
CCSR:MUS036,MUS
CCSR:MUS037,MUS
CCSR:NEO001,NEO
CCSR:NEO002,NEO
CCSR:NEO003,NEO
CCSR:NEO004,NEO
CCSR:NEO005,NEO
CCSR:NEO006,NEO
CCSR:NEO007,NEO
CCSR:NEO008,NEO
CCSR:NEO009,NEO
CCSR:NEO010,NEO
CCSR:NEO011,NEO
CCSR:NEO012,NEO
CCSR:NEO013,NEO
CCSR:NEO014,NEO
CCSR:NEO015,NEO
CCSR:NEO016,NEO
CCSR:NEO017,NEO
CCSR:NEO018,NEO
CCSR:NEO019,NEO
CCSR:NEO020,NEO
CCSR:NEO021,NEO
CCSR:NEO022,NEO
CCSR:NEO023,NEO
CCSR:NEO024,NEO
CCSR:NEO025,NEO
CCSR:NEO026,NEO
CCSR:NEO027,NEO
CCSR:NEO028,NEO
CCSR:NEO029,NEO
CCSR:NEO030,NEO
CCSR:NEO031,NEO
CCSR:NEO032,NEO
CCSR:NEO033,NEO
CCSR:NEO034,NEO
CCSR:NEO035,NEO
CCSR:NEO036,NEO
CCSR:NEO037,NEO
CCSR:NEO038,NEO
CCSR:NEO039,NEO
CCSR:NEO040,NEO
CCSR:NEO041,NEO
CCSR:NEO042,NEO
CCSR:NEO043,NEO
CCSR:NEO044,NEO
CCSR:NEO045,NEO
CCSR:NEO046,NEO
CCSR:NEO047,NEO
CCSR:NEO048,NEO
CCSR:NEO049,NEO
CCSR:NEO050,NEO
CCSR:NEO051,NEO
CCSR:NEO052,NEO
CCSR:NEO053,NEO
CCSR:NEO054,NEO
CCSR:NEO055,NEO
CCSR:NEO056,NEO
CCSR:NEO057,NEO
CCSR:NEO058,NEO
CCSR:NEO059,NEO
CCSR:NEO060,NEO
CCSR:NEO061,NEO
CCSR:NEO062,NEO
CCSR:NEO063,NEO
CCSR:NEO064,NEO
CCSR:NEO065,NEO
CCSR:NEO066,NEO
CCSR:NEO067,NEO
CCSR:NEO068,NEO
CCSR:NEO069,NEO
CCSR:NEO070,NEO
CCSR:NEO071,NEO
CCSR:NEO072,NEO
CCSR:NEO073,NEO
CCSR:NEO074,NEO
CCSR:NVS001,NVS
CCSR:NVS002,NVS
CCSR:NVS003,NVS
CCSR:NVS004,NVS
CCSR:NVS005,NVS
CCSR:NVS006,NVS
CCSR:NVS007,NVS
CCSR:NVS008,NVS
CCSR:NVS009,NVS
CCSR:NVS010,NVS
CCSR:NVS011,NVS
CCSR:NVS012,NVS
CCSR:NVS013,NVS
CCSR:NVS014,NVS
CCSR:NVS015,NVS
CCSR:NVS016,NVS
CCSR:NVS017,NVS
CCSR:NVS018,NVS
CCSR:NVS019,NVS
CCSR:NVS020,NVS
CCSR:NVS021,NVS
CCSR:NVS022,NVS
CCSR:PNL001,PNL
CCSR:PNL002,PNL
CCSR:PNL003,PNL
CCSR:PNL004,PNL
CCSR:PNL005,PNL
CCSR:PNL006,PNL
CCSR:PNL007,PNL
CCSR:PNL008,PNL
CCSR:PNL009,PNL
CCSR:PNL010,PNL
CCSR:PNL011,PNL
CCSR:PNL012,PNL
CCSR:PNL013,PNL
CCSR:PRG001,PRG
CCSR:PRG002,PRG
CCSR:PRG003,PRG
CCSR:PRG004,PRG
CCSR:PRG005,PRG
CCSR:PRG006,PRG
CCSR:PRG007,PRG
CCSR:PRG008,PRG
CCSR:PRG009,PRG
CCSR:PRG010,PRG
CCSR:PRG011,PRG
CCSR:PRG012,PRG
CCSR:PRG013,PRG
CCSR:PRG014,PRG
CCSR:PRG015,PRG
CCSR:PRG016,PRG
CCSR:PRG017,PRG
CCSR:PRG018,PRG
CCSR:PRG019,PRG
CCSR:PRG020,PRG
CCSR:PRG021,PRG
CCSR:PRG022,PRG
CCSR:PRG023,PRG
CCSR:PRG024,PRG
CCSR:PRG025,PRG
CCSR:PRG026,PRG
CCSR:PRG027,PRG
CCSR:PRG028,PRG
CCSR:PRG029,PRG
CCSR:PRG030,PRG
CCSR:RSP001,RSP
CCSR:RSP002,RSP
CCSR:RSP003,RSP
CCSR:RSP004,RSP
CCSR:RSP005,RSP
CCSR:RSP006,RSP
CCSR:RSP007,RSP
CCSR:RSP008,RSP
CCSR:RSP009,RSP
CCSR:RSP010,RSP
CCSR:RSP011,RSP
CCSR:RSP012,RSP
CCSR:RSP013,RSP
CCSR:RSP014,RSP
CCSR:RSP015,RSP
CCSR:RSP016,RSP
CCSR:RSP017,RSP
CCSR:SKN001,SKN
CCSR:SKN002,SKN
CCSR:SKN003,SKN
CCSR:SKN004,SKN
CCSR:SKN005,SKN
CCSR:SKN006,SKN
CCSR:SKN007,SKN
CCSR:SYM001,SYM
CCSR:SYM002,SYM
CCSR:SYM003,SYM
CCSR:SYM004,SYM
CCSR:SYM005,SYM
CCSR:SYM006,SYM
CCSR:SYM007,SYM
CCSR:SYM008,SYM
CCSR:SYM009,SYM
CCSR:SYM010,SYM
CCSR:SYM011,SYM
CCSR:SYM012,SYM
CCSR:SYM013,SYM
CCSR:SYM014,SYM
CCSR:SYM015,SYM
CCSR:SYM016,SYM
CCSR:SYM017,SYM
ICD10-CM:A00.0,DIG001
ICD10-CM:A00.0,INF003
ICD10-CM:A00.1,INF003
ICD10-CM:A00.1,DIG001
ICD10-CM:A00.9,INF003
ICD10-CM:A00.9,DIG001
ICD10-CM:A01.00,INF003
ICD10-CM:A01.00,DIG001
ICD10-CM:A01.01,INF003
ICD10-CM:A01.01,NVS001
ICD10-CM:A01.02,INF003
ICD10-CM:A01.03,RSP002
ICD10-CM:A01.03,INF003
ICD10-CM:A01.04,MUS001
ICD10-CM:A01.04,INF003
ICD10-CM:A01.05,INF003
ICD10-CM:A01.05,MUS002
ICD10-CM:A01.09,DIG001
ICD10-CM:A01.09,INF003
ICD10-CM:A01.1,DIG001
ICD10-CM:A01.1,INF003
ICD10-CM:A01.2,DIG001
ICD10-CM:A01.2,INF003
ICD10-CM:A01.3,DIG001
ICD10-CM:A01.3,INF003
ICD10-CM:A01.4,INF003
ICD10-CM:A01.4,DIG001
ICD10-CM:A02.0,INF003
ICD10-CM:A02.0,DIG001
ICD10-CM:A02.1,INF003
ICD10-CM:A02.1,INF002
ICD10-CM:A02.20,INF003
ICD10-CM:A02.21,NVS001
ICD10-CM:A02.21,INF003
ICD10-CM:A02.22,RSP002
ICD10-CM:A02.22,INF003
ICD10-CM:A02.23,MUS001
ICD10-CM:A02.23,INF003
ICD10-CM:A02.24,INF003
ICD10-CM:A02.24,MUS002
ICD10-CM:A02.25,DIG001
ICD10-CM:A02.25,INF003
ICD10-CM:A02.29,DIG001
ICD10-CM:A02.29,INF003
ICD10-CM:A02.8,INF003
ICD10-CM:A02.9,DIG001
ICD10-CM:A02.9,INF003
ICD10-CM:A03.0,INF003
ICD10-CM:A03.0,DIG001
ICD10-CM:A03.1,DIG001
ICD10-CM:A03.1,INF003
ICD10-CM:A03.2,INF003
ICD10-CM:A03.2,DIG001
ICD10-CM:A03.3,DIG001
ICD10-CM:A03.3,INF003
ICD10-CM:A03.8,INF003
ICD10-CM:A03.8,DIG001
ICD10-CM:A03.9,DIG001
ICD10-CM:A03.9,INF003
ICD10-CM:A04.0,DIG001
ICD10-CM:A04.0,INF003
ICD10-CM:A04.1,DIG001
ICD10-CM:A04.1,INF003
ICD10-CM:A04.2,DIG001
ICD10-CM:A04.2,INF003
ICD10-CM:A04.3,DIG001
ICD10-CM:A04.3,INF003
ICD10-CM:A04.4,DIG001
ICD10-CM:A04.4,INF003
ICD10-CM:A04.5,INF003
ICD10-CM:A04.5,DIG001
ICD10-CM:A04.6,INF003
ICD10-CM:A04.6,DIG001
ICD10-CM:A04.7,INF003
ICD10-CM:A04.7,DIG001
ICD10-CM:A04.71,INF003
ICD10-CM:A04.71,DIG001
ICD10-CM:A04.72,INF003
ICD10-CM:A04.72,DIG001
ICD10-CM:A04.8,INF003
ICD10-CM:A04.8,DIG001
ICD10-CM:A04.9,DIG001
ICD10-CM:A04.9,INF003
ICD10-CM:A05.0,INF005
ICD10-CM:A05.1,INF005
ICD10-CM:A05.2,INF005
ICD10-CM:A05.3,INF005
ICD10-CM:A05.4,INF005
ICD10-CM:A05.5,INF005
ICD10-CM:A05.8,INF005
ICD10-CM:A05.9,INF005
ICD10-CM:A06.0,INF009
ICD10-CM:A06.0,DIG001
ICD10-CM:A06.1,DIG001
ICD10-CM:A06.1,INF009
ICD10-CM:A06.2,INF009
ICD10-CM:A06.2,DIG001
ICD10-CM:A06.3,DIG001
ICD10-CM:A06.3,INF009
ICD10-CM:A06.4,DIG001
ICD10-CM:A06.4,INF009
ICD10-CM:A06.5,INF009
ICD10-CM:A06.5,RSP016
ICD10-CM:A06.6,NVS014
ICD10-CM:A06.6,INF009
ICD10-CM:A06.7,INF009
ICD10-CM:A06.81,INF009
ICD10-CM:A06.82,INF009
ICD10-CM:A06.89,INF009
ICD10-CM:A06.9,DIG001
ICD10-CM:A06.9,INF009
ICD10-CM:A07.0,DIG001
ICD10-CM:A07.0,INF009
ICD10-CM:A07.1,INF009
ICD10-CM:A07.1,DIG001
ICD10-CM:A07.2,INF009
ICD10-CM:A07.2,DIG001
ICD10-CM:A07.3,DIG001
ICD10-CM:A07.3,INF009
ICD10-CM:A07.4,INF009
ICD10-CM:A07.4,DIG001
ICD10-CM:A07.8,DIG001
ICD10-CM:A07.8,INF009
ICD10-CM:A07.9,DIG001
ICD10-CM:A07.9,INF009
ICD10-CM:A08.0,INF008
ICD10-CM:A08.0,DIG001
ICD10-CM:A08.11,INF008
ICD10-CM:A08.11,DIG001
ICD10-CM:A08.19,INF008
ICD10-CM:A08.19,DIG001
ICD10-CM:A08.2,DIG001
ICD10-CM:A08.2,INF008
ICD10-CM:A08.31,INF008
ICD10-CM:A08.31,DIG001
ICD10-CM:A08.32,DIG001
ICD10-CM:A08.32,INF008
ICD10-CM:A08.39,DIG001
ICD10-CM:A08.39,INF008
ICD10-CM:A08.4,INF008
ICD10-CM:A08.4,DIG001
ICD10-CM:A08.8,INF008
ICD10-CM:A08.8,DIG001
ICD10-CM:A09,INF009
ICD10-CM:A09,DIG001
ICD10-CM:A15.0,INF001
ICD10-CM:A15.4,INF001
ICD10-CM:A15.5,RSP006
ICD10-CM:A15.5,INF001
ICD10-CM:A15.6,RSP011
ICD10-CM:A15.6,INF001
ICD10-CM:A15.7,INF001
ICD10-CM:A15.7,RSP016
ICD10-CM:A15.8,RSP016
ICD10-CM:A15.8,INF001
ICD10-CM:A15.9,INF001
ICD10-CM:A15.9,RSP016
ICD10-CM:A17.0,NVS001
ICD10-CM:A17.0,INF001
ICD10-CM:A17.1,INF001
ICD10-CM:A17.1,NVS001
ICD10-CM:A17.81,INF001
ICD10-CM:A17.81,NVS014
ICD10-CM:A17.82,INF001
ICD10-CM:A17.82,NVS002
ICD10-CM:A17.83,NVS017
ICD10-CM:A17.83,INF001
ICD10-CM:A17.89,NVS020
ICD10-CM:A17.89,INF001
ICD10-CM:A17.9,NVS020
ICD10-CM:A17.9,INF001
ICD10-CM:A18.01,MUS001
ICD10-CM:A18.01,INF001
ICD10-CM:A18.02,MUS001
ICD10-CM:A18.02,INF001
ICD10-CM:A18.03,INF001
ICD10-CM:A18.03,MUS001
ICD10-CM:A18.09,MUS025
ICD10-CM:A18.09,INF001
ICD10-CM:A18.10,GEN004
ICD10-CM:A18.10,INF001
ICD10-CM:A18.11,GEN006
ICD10-CM:A18.11,INF001
ICD10-CM:A18.12,GEN007
ICD10-CM:A18.12,INF001
ICD10-CM:A18.13,GEN004
ICD10-CM:A18.13,INF001
ICD10-CM:A18.14,GEN013
ICD10-CM:A18.14,INF001
ICD10-CM:A18.15,GEN013
ICD10-CM:A18.15,INF001
ICD10-CM:A18.16,INF001
ICD10-CM:A18.16,GEN018
ICD10-CM:A18.17,INF001
ICD10-CM:A18.17,GEN018
ICD10-CM:A18.18,GEN018
ICD10-CM:A18.18,INF001
ICD10-CM:A18.2,INF001
ICD10-CM:A18.31,DIG016
ICD10-CM:A18.31,INF001
ICD10-CM:A18.32,DIG001
ICD10-CM:A18.32,INF001
ICD10-CM:A18.39,INF001
ICD10-CM:A18.4,INF001
ICD10-CM:A18.50,INF001
ICD10-CM:A18.50,EYE012
ICD10-CM:A18.51,EYE001
ICD10-CM:A18.51,INF001
ICD10-CM:A18.52,EYE001
ICD10-CM:A18.52,INF001
ICD10-CM:A18.53,INF001
ICD10-CM:A18.53,EYE005
ICD10-CM:A18.54,INF001
ICD10-CM:A18.54,EYE012
ICD10-CM:A18.59,EYE012
ICD10-CM:A18.59,INF001
ICD10-CM:A18.6,INF001
ICD10-CM:A18.6,EAR002
ICD10-CM:A18.6,EAR006
ICD10-CM:A18.7,END015
ICD10-CM:A18.7,INF001
ICD10-CM:A18.81,INF001
ICD10-CM:A18.81,END001
ICD10-CM:A18.82,END015
ICD10-CM:A18.82,INF001
ICD10-CM:A18.83,DIG025
ICD10-CM:A18.83,INF001
ICD10-CM:A18.84,CIR004
ICD10-CM:A18.84,INF001
ICD10-CM:A18.85,INF001
ICD10-CM:A18.85,BLD010
ICD10-CM:A18.89,INF001
ICD10-CM:A19.0,INF001
ICD10-CM:A19.1,INF001
ICD10-CM:A19.2,INF001
ICD10-CM:A19.8,INF001
ICD10-CM:A19.9,INF001
ICD10-CM:A20.0,INF003
ICD10-CM:A20.1,SKN001
ICD10-CM:A20.1,INF003
ICD10-CM:A20.2,INF003
ICD10-CM:A20.2,RSP002
ICD10-CM:A20.3,INF003
ICD10-CM:A20.3,NVS001
ICD10-CM:A20.7,INF002
ICD10-CM:A20.7,INF003
ICD10-CM:A20.8,INF003
ICD10-CM:A20.9,INF003
ICD10-CM:A21.0,INF003
ICD10-CM:A21.0,SKN001
ICD10-CM:A21.1,EYE012
ICD10-CM:A21.1,INF003
ICD10-CM:A21.2,INF003
ICD10-CM:A21.2,RSP002
ICD10-CM:A21.3,DIG001
ICD10-CM:A21.3,INF003
ICD10-CM:A21.7,INF003
ICD10-CM:A21.8,INF003
ICD10-CM:A21.9,INF003
ICD10-CM:A22.0,INF003
ICD10-CM:A22.0,SKN001
ICD10-CM:A22.1,INF003
ICD10-CM:A22.1,RSP002
ICD10-CM:A22.2,DIG001
ICD10-CM:A22.2,INF003
ICD10-CM:A22.7,INF002
ICD10-CM:A22.7,INF003
ICD10-CM:A22.8,INF003
ICD10-CM:A22.9,INF003
ICD10-CM:A23.0,INF003
ICD10-CM:A23.1,INF003
ICD10-CM:A23.2,INF003
ICD10-CM:A23.3,INF003
ICD10-CM:A23.8,INF003
ICD10-CM:A23.9,INF003
ICD10-CM:A24.0,INF003
ICD10-CM:A24.1,INF003
ICD10-CM:A24.2,INF003
ICD10-CM:A24.3,INF003
ICD10-CM:A24.9,INF003
ICD10-CM:A25.0,INF003
ICD10-CM:A25.1,INF003
ICD10-CM:A25.9,INF003
ICD10-CM:A26.0,INF003
ICD10-CM:A26.7,INF003
ICD10-CM:A26.7,INF002
ICD10-CM:A26.8,INF003
ICD10-CM:A26.9,INF003
ICD10-CM:A27.0,INF003
ICD10-CM:A27.81,INF003
ICD10-CM:A27.81,NVS001
ICD10-CM:A27.89,INF003
ICD10-CM:A27.9,INF003
ICD10-CM:A28.0,INF003
ICD10-CM:A28.1,INF003
ICD10-CM:A28.2,INF003
ICD10-CM:A28.8,INF003
ICD10-CM:A28.9,INF003
ICD10-CM:A30.0,INF003
ICD10-CM:A30.1,INF003
ICD10-CM:A30.2,INF003
ICD10-CM:A30.3,INF003
ICD10-CM:A30.4,INF003
ICD10-CM:A30.5,INF003
ICD10-CM:A30.8,INF003
ICD10-CM:A30.9,INF003
ICD10-CM:A31.0,RSP002
ICD10-CM:A31.0,INF003
ICD10-CM:A31.1,INF003
ICD10-CM:A31.1,SKN001
ICD10-CM:A31.2,INF003
ICD10-CM:A31.8,INF003
ICD10-CM:A31.9,INF003
ICD10-CM:A32.0,INF003
ICD10-CM:A32.11,NVS001
ICD10-CM:A32.11,INF003
ICD10-CM:A32.12,INF003
ICD10-CM:A32.12,NVS002
ICD10-CM:A32.7,INF002
ICD10-CM:A32.7,INF003
ICD10-CM:A32.81,INF003
ICD10-CM:A32.82,CIR004
ICD10-CM:A32.82,INF003
ICD10-CM:A32.89,INF003
ICD10-CM:A32.9,INF003
ICD10-CM:A33,PNL009
ICD10-CM:A33,INF003
ICD10-CM:A34,PRG023
ICD10-CM:A34,INF003
ICD10-CM:A35,INF003
ICD10-CM:A36.0,INF003
ICD10-CM:A36.0,RSP006
ICD10-CM:A36.1,INF003
ICD10-CM:A36.1,RSP006
ICD10-CM:A36.2,RSP006
ICD10-CM:A36.2,INF003
ICD10-CM:A36.3,INF003
ICD10-CM:A36.3,SKN001
ICD10-CM:A36.81,INF003
ICD10-CM:A36.81,CIR005
ICD10-CM:A36.82,INF003
ICD10-CM:A36.83,NVS015
ICD10-CM:A36.83,INF003
ICD10-CM:A36.84,INF003
ICD10-CM:A36.84,GEN001
ICD10-CM:A36.85,INF003
ICD10-CM:A36.85,GEN004
ICD10-CM:A36.86,EYE001
ICD10-CM:A36.86,INF003
ICD10-CM:A36.89,INF003
ICD10-CM:A36.9,INF003
ICD10-CM:A37.00,INF003
ICD10-CM:A37.01,RSP002
ICD10-CM:A37.01,INF003
ICD10-CM:A37.10,INF003
ICD10-CM:A37.11,RSP002
ICD10-CM:A37.11,INF003
ICD10-CM:A37.80,INF003
